entname,enttypename,entid,enttypeid,byif_out_util_max,byif_in_util_pct10,byif_name,byif_out_util_pct10,byif_latency_c_avg,description,byif_com_speed_c,byif_out_bit_rate,byif_latency_c_max,byif_out_util_count,byif_out_util_avg,byif_bandwidth,byif_in_bit_rate,byif_errors_c,byif_in_util_count,byif_in_error_c,byif_in_util_avg,byif_in_util_max,byif_desc,location_site,byif_out_error_c
AG011,Network - Device,53650,sys:net:dev,0,0,LTE,0,31.989,Branch,DNI-3,0,32,24,0,100000000,0,0,24,0,0,0,LTE,PORTO EMPEDOCLE,0
AN029,Network - Device,43795,sys:net:dev,8.515,0.298,CPE2,0.205,20.01,Branch,DNI-6,369222.791,22,48,1.23,30000000,666910.713,0,48,0,2.222,17.985,GigabitEthernet0/0/0_100,JESI,0
AN029,Network - Device,43795,sys:net:dev,53.374,0.255,CPE1,0.286,19.854,Branch,DNI-6,670422.26,31,48,2.234,30000000,532374.401,0,48,0,1.774,20.607,GigabitEthernet0/0/0_100,JESI,0
AN029,Network - Device,43795,sys:net:dev,0,0,LTE,0,23.151,Branch,DNI-6,0,34,48,0,30000000,0,0,48,0,0,0,LTE,JESI,0
ALLEG,Network - Device,53143,sys:net:dev,8.087,0.372,CPE2,0.252,5.006,Branch,DNI-7,1028479.02,6,72,1.714,60000000,1865425.77,0,72,0,3.109,22.668,GigabitEthernet0/0/0_100,ALESSANDRIA,0
ALLEG,Network - Device,53143,sys:net:dev,13.226,0.423,CPE1,0.4,5.02,Branch,DNI-7,1352147.298,7,72,2.253,60000000,1808040.538,0,72,0,3.013,20.096,GigabitEthernet0/0/0_100,ALESSANDRIA,0
ALLEG,Network - Device,53143,sys:net:dev,0,0,LTE,0,5.065,Branch,DNI-7,0,13,72,0,60000000,0,0,72,0,0,0,LTE,ALESSANDRIA,0
AG050,Network - Device,65176,sys:net:dev,0.502,0.062,CPE2,0.048,29.145,Branch,DNI-3,102077.26,39,24,0.102,100000000,253157.697,0,24,0,0.253,2.122,Ethernet0/2/0_100,RAVANUSA,0
AG050,Network - Device,65176,sys:net:dev,2.922,0.116,CPE1,0.114,36.593,Branch,DNI-3,303116.062,41,24,0.303,100000000,478407.5,0,24,0,0.478,3.391,Ethernet0/2/0_100,RAVANUSA,0
AG050,Network - Device,65176,sys:net:dev,0,0,LTE,0,38.343,Branch,DNI-3,0,39,24,0,100000000,0,0,24,0,0,0,LTE,RAVANUSA,0
AN002,Network - Device,56859,sys:net:dev,1.114,0.285,CPE2,0.175,20.031,Branch,DNI-3,345020.286,22,48,0.345,100000000,617978.276,0,48,0,0.617,2.816,Ethernet0/2/0_100,ANCONA UGO BASSI,0
AN002,Network - Device,56859,sys:net:dev,1.843,0.229,CPE1,0.197,23.583,Branch,DNI-3,375686.39,28,48,0.375,100000000,551702.447,0,48,0,0.551,6.305,Ethernet0/2/0_100,ANCONA UGO BASSI,0
AN002,Network - Device,56859,sys:net:dev,0,0,LTE,0,26.036,Branch,DNI-3,0,31,48,0,100000000,0,0,48,0,0,0,LTE,ANCONA UGO BASSI,0
AG040,Network - Device,49307,sys:net:dev,1.699,0.09,CPE2,0.082,35.854,Branch,DNI-3,211689.291,43,24,0.211,100000000,355616.052,0,24,0,0.355,5.613,Ethernet0/2/0_100,FAVARA,0
AG040,Network - Device,49307,sys:net:dev,1.508,0.106,CPE1,0.11,35.02,Branch,DNI-3,272315.072,37,24,0.272,100000000,313004.791,0,24,0,0.313,2.302,Ethernet0/2/0_100,FAVARA,0
AG040,Network - Device,49307,sys:net:dev,0,0,LTE,0,33.041,Branch,DNI-3,0,34,24,0,100000000,0,0,24,0,0,0,LTE,FAVARA,0
AG013,Network - Device,48796,sys:net:dev,27.171,1.334,CPE2,1,36.927,Branch,DNI-1,135231.927,78,24,3.301,4096000,153726.5,0,24,0,3.753,17.189,ATM0/IMA1_1-aal5_layer,CALTABELLOTTA,0
AG013,Network - Device,48796,sys:net:dev,41.422,2.136,CPE1,2.222,44.25,Branch,DNI-1,197943.406,203,24,4.832,4096000,256560.895,0,24,0,6.263,49.888,ATM0/IMA1_1-aal5_layer,CALTABELLOTTA,0
AG013,Network - Device,48796,sys:net:dev,0,0,LTE,0,48.375,Branch,DNI-1,0,145,24,0,4096000,0,0,24,0,0,0,LTE,CALTABELLOTTA,0
AG030,Network - Device,49053,sys:net:dev,19.843,2.355,CPE2,1.93,40.682,Branch,DNI-1,197159.619,101,48,4.813,4096000,327684.973,0,48,0,8,39.35,Ethernet0/0/0_90,BIVONA,0
AG030,Network - Device,49053,sys:net:dev,21.398,2.168,CPE1,2.296,37.572,Branch,DNI-1,217400.781,76,48,5.307,4096000,240843.239,0,48,0,5.879,26.286,Ethernet0/0/0_90,BIVONA,0
AG030,Network - Device,49053,sys:net:dev,0,0,LTE,0,39.458,Branch,DNI-1,0,84,48,0,4096000,0,0,48,0,0,0,LTE,BIVONA,0
AG021,Network - Device,29342,sys:net:dev,2.271,0.392,CPE2,0.17,32.177,Branch,DNI-3,625283.343,38,24,0.625,100000000,1227907.75,0,24,0,1.227,8.337,Ethernet0/2/0_100,SCIACCA,0
AG021,Network - Device,29342,sys:net:dev,3.842,0.296,CPE1,0.218,34.031,Branch,DNI-3,544894.125,35,24,0.544,100000000,785549.083,0,24,0,0.785,3.114,Ethernet0/2/0_100,SCIACCA,0
AG021,Network - Device,29342,sys:net:dev,0.038,0.005,LTE,0.022,72.031,Branch,DNI-3,26339.187,145,24,0.026,100000000,5627.125,0,24,0,0.005,0.007,LTE,SCIACCA,0
AG029,Network - Device,65311,sys:net:dev,0.433,0.077,CPE2,0.054,31.505,Branch,DNI-3,121827.473,34,48,0.121,100000000,260619.114,0,48,0,0.26,1.265,Ethernet0/2/0_100,ARAGONA,0
